holiday,date
New Year,2010-01-01
New Year,2011-01-01
New Year,2012-01-01
New Year,2013-01-01
New Year,2014-01-01
New Year,2015-01-01
New Year,2016-01-01
New Year,2017-01-01
New Year,2018-01-01
New Year,2019-01-01
New Year,2020-01-01
New Year,2021-01-01
New Year,2022-01-01
New Year,2023-01-01
New Year,2024-01-01
New Year,2025-01-01
New Year,2026-01-01
New Year,2027-01-01
New Year,2028-01-01
New Year,2029-01-01
Trzech Kroli,2010-01-06
Trzech Kroli,2011-01-06
Trzech Kroli,2012-01-06
Trzech Kroli,2013-01-06
Trzech Kroli,2014-01-06
Trzech Kroli,2015-01-06
Trzech Kroli,2016-01-06
Trzech Kroli,2017-01-06
Trzech Kroli,2018-01-06
Trzech Kroli,2019-01-06
Trzech Kroli,2020-01-06
Trzech Kroli,2021-01-06
Trzech Kroli,2022-01-06
Trzech Kroli,2023-01-06
Trzech Kroli,2024-01-06
Trzech Kroli,2025-01-06
Trzech Kroli,2026-01-06
Trzech Kroli,2027-01-06
Trzech Kroli,2028-01-06
Trzech Kroli,2029-01-06
Easter Sunday,2010-04-04
Easter Sunday,2011-04-24
Easter Sunday,2012-04-08
Easter Sunday,2013-03-31
Easter Sunday,2014-04-20
Easter Sunday,2015-04-05
Easter Sunday,2016-03-27
Easter Sunday,2017-04-16
Easter Sunday,2018-04-01
Easter Sunday,2019-04-21
Easter Sunday,2020-04-12
Easter Sunday,2021-04-04
Easter Sunday,2022-04-17
Easter Sunday,2023-04-09
Easter Sunday,2024-03-31
Easter Sunday,2025-04-20
Easter Sunday,2026-04-05
Easter Sunday,2027-03-28
Easter Sunday,2028-04-16
Easter Sunday,2029-04-01
Easter Monday,2010-04-05
Easter Monday,2011-04-25
Easter Monday,2012-04-09
Easter Monday,2013-04-01
Easter Monday,2014-04-21
Easter Monday,2015-04-06
Easter Monday,2016-03-28
Easter Monday,2017-04-17
Easter Monday,2018-04-02
Easter Monday,2019-04-22
Easter Monday,2020-04-13
Easter Monday,2021-04-05
Easter Monday,2022-04-18
Easter Monday,2023-04-10
Easter Monday,2024-04-01
Easter Monday,2025-04-21
Easter Monday,2026-04-06
Easter Monday,2027-03-29
Easter Monday,2028-04-17
Easter Monday,2029-04-02
Labor Day,2010-05-01
Labor Day,2011-05-01
Labor Day,2012-05-01
Labor Day,2013-05-01
Labor Day,2014-05-01
Labor Day,2015-05-01
Labor Day,2016-05-01
Labor Day,2017-05-01
Labor Day,2018-05-01
Labor Day,2019-05-01
Labor Day,2020-05-01
Labor Day,2021-05-01
Labor Day,2022-05-01
Labor Day,2023-05-01
Labor Day,2024-05-01
Labor Day,2025-05-01
Labor Day,2026-05-01
Labor Day,2027-05-01
Labor Day,2028-05-01
Labor Day,2029-05-01
Constitution Day,2010-05-03
Constitution Day,2011-05-03
Constitution Day,2012-05-03
Constitution Day,2013-05-03
Constitution Day,2014-05-03
Constitution Day,2015-05-03
Constitution Day,2016-05-03
Constitution Day,2017-05-03
Constitution Day,2018-05-03
Constitution Day,2019-05-03
Constitution Day,2020-05-03
Constitution Day,2021-05-03
Constitution Day,2022-05-03
Constitution Day,2023-05-03
Constitution Day,2024-05-03
Constitution Day,2025-05-03
Constitution Day,2026-05-03
Constitution Day,2027-05-03
Constitution Day,2028-05-03
