no,effectiveDate,mid,exchange_rate
001/A/NBP/2019,2019-01-02,0.1671,CZK
002/A/NBP/2019,2019-01-03,0.1672,CZK
003/A/NBP/2019,2019-01-04,0.1679,CZK
004/A/NBP/2019,2019-01-07,0.1682,CZK
005/A/NBP/2019,2019-01-08,0.1678,CZK
006/A/NBP/2019,2019-01-09,0.1678,CZK
007/A/NBP/2019,2019-01-10,0.168,CZK
008/A/NBP/2019,2019-01-11,0.1679,CZK
009/A/NBP/2019,2019-01-14,0.168,CZK
010/A/NBP/2019,2019-01-15,0.1679,CZK
011/A/NBP/2019,2019-01-16,0.1678,CZK
012/A/NBP/2019,2019-01-17,0.1678,CZK
013/A/NBP/2019,2019-01-18,0.1681,CZK
014/A/NBP/2019,2019-01-21,0.1677,CZK
015/A/NBP/2019,2019-01-22,0.1674,CZK
016/A/NBP/2019,2019-01-23,0.1672,CZK
017/A/NBP/2019,2019-01-24,0.167,CZK
018/A/NBP/2019,2019-01-25,0.1669,CZK
019/A/NBP/2019,2019-01-28,0.1668,CZK
020/A/NBP/2019,2019-01-29,0.1669,CZK
021/A/NBP/2019,2019-01-30,0.1665,CZK
022/A/NBP/2019,2019-01-31,0.1661,CZK
023/A/NBP/2019,2019-02-01,0.1658,CZK
024/A/NBP/2019,2019-02-04,0.1664,CZK
025/A/NBP/2019,2019-02-05,0.1669,CZK
026/A/NBP/2019,2019-02-06,0.1667,CZK
027/A/NBP/2019,2019-02-07,0.1668,CZK
028/A/NBP/2019,2019-02-08,0.167,CZK
029/A/NBP/2019,2019-02-11,0.1671,CZK
030/A/NBP/2019,2019-02-12,0.1674,CZK
031/A/NBP/2019,2019-02-13,0.1677,CZK
032/A/NBP/2019,2019-02-14,0.1683,CZK
033/A/NBP/2019,2019-02-15,0.1682,CZK
034/A/NBP/2019,2019-02-18,0.1685,CZK
035/A/NBP/2019,2019-02-19,0.1682,CZK
036/A/NBP/2019,2019-02-20,0.1688,CZK
037/A/NBP/2019,2019-02-21,0.1688,CZK
038/A/NBP/2019,2019-02-22,0.1692,CZK
039/A/NBP/2019,2019-02-25,0.1692,CZK
040/A/NBP/2019,2019-02-26,0.1689,CZK
041/A/NBP/2019,2019-02-27,0.1684,CZK
042/A/NBP/2019,2019-02-28,0.1683,CZK
043/A/NBP/2019,2019-03-01,0.1682,CZK
044/A/NBP/2019,2019-03-04,0.1677,CZK
045/A/NBP/2019,2019-03-05,0.1679,CZK
046/A/NBP/2019,2019-03-06,0.1678,CZK
047/A/NBP/2019,2019-03-07,0.1681,CZK
048/A/NBP/2019,2019-03-08,0.1681,CZK
049/A/NBP/2019,2019-03-11,0.1675,CZK
050/A/NBP/2019,2019-03-12,0.1675,CZK
051/A/NBP/2019,2019-03-13,0.1675,CZK
052/A/NBP/2019,2019-03-14,0.1676,CZK
053/A/NBP/2019,2019-03-15,0.1677,CZK
054/A/NBP/2019,2019-03-18,0.1676,CZK
055/A/NBP/2019,2019-03-19,0.1677,CZK
056/A/NBP/2019,2019-03-20,0.1671,CZK
057/A/NBP/2019,2019-03-21,0.1672,CZK
058/A/NBP/2019,2019-03-22,0.1669,CZK
059/A/NBP/2019,2019-03-25,0.167,CZK
060/A/NBP/2019,2019-03-26,0.1668,CZK
061/A/NBP/2019,2019-03-27,0.1669,CZK
062/A/NBP/2019,2019-03-28,0.1666,CZK
063/A/NBP/2019,2019-03-29,0.1666,CZK
064/A/NBP/2019,2019-04-01,0.1669,CZK
065/A/NBP/2019,2019-04-02,0.1671,CZK
066/A/NBP/2019,2019-04-03,0.1671,CZK
067/A/NBP/2019,2019-04-04,0.167,CZK
068/A/NBP/2019,2019-04-05,0.1674,CZK
069/A/NBP/2019,2019-04-08,0.1673,CZK
070/A/NBP/2019,2019-04-09,0.1674,CZK
071/A/NBP/2019,2019-04-10,0.1673,CZK
072/A/NBP/2019,2019-04-11,0.1673,CZK
073/A/NBP/2019,2019-04-12,0.1672,CZK
074/A/NBP/2019,2019-04-15,0.1669,CZK
075/A/NBP/2019,2019-04-16,0.1666,CZK
076/A/NBP/2019,2019-04-17,0.1665,CZK
