"SP_BookingNumber","SP_Destination","SP_PaidCurrency","SP_Paid","SP_TourDate"
"S9999999","TST","CZK","100,00","2022-08-31"
"S9999999","TST","EUR","100,00","2022-08-31"
"S9999999","TST","GBP","100,00","2022-08-31"
"S9999999","TST","HUF","100,00","2022-08-31"
"S9999999","TST","RUB","100,00","2022-08-31"
"S9999999","TST","RUB","100,00","2022-08-31"
"S9999999","TST","USD","100,00","2022-08-31"
"S0067486","ZNZ","PLN","399,07","2022-01-11"
"S0067691","RMF","PLN","685,35","2022-01-14"
"S0067688","SID","EUR","512,95","2022-01-13"
"S0067687","FNC","EUR","486,86","2022-01-11"
"S0067686","SID","EUR","512,95","2022-01-13"
"S0067685","SID","EUR","169,05","2022-01-11"
"S0067640","FUE","PLN","554,24","2022-01-14"
"S0067442","RMF","PLN","90,36","2022-01-05"
"S0067633","FUE","PLN","484,45","2022-01-13"
"S0067628","SID","EUR","169,05","2022-01-11"
"S0067625","SID","EUR","217,35","2022-01-14"
"S0067624","SID","EUR","456,43","2022-01-10"
"S0067624","SID","EUR","326,02","2022-01-14"
"S0067623","SID","EUR","169,05","2022-01-11"
"S0067622","LPA","PLN","463,68","2022-01-11"
"S0067618","HRG","PLN","606,6","2022-01-11"
"S0067616","RMF","PLN","464,84","2022-01-11"
"S0067486","ZNZ","PLN","462,88","2022-01-13"
"S0067611","ZNZ","PLN","446,95","2022-01-11"
"S0067609","ZNZ","PLN","510,82","2022-01-13"
"S0067606","LPA","PLN","231,84","2022-01-11"
"S0067605","ZNZ","PLN","462,88","2022-01-13"
"S0067605","ZNZ","PLN","399,07","2022-01-11"
"S0067604","ZNZ","PLN","462,88","2022-01-13"
"S0067604","ZNZ","PLN","399,07","2022-01-11"
"S0067603","ACE","PLN","560,28","2022-01-13"
"S0067601","ZNZ","PLN","383,11","2022-01-13"
"S0067569","ZNZ","PLN","766,24","2022-01-13"
"S0067569","ZNZ","PLN","5427,43","2022-01-13"
"S0067596","SID","EUR","260,82","2022-01-13"
"S0067595","SID","EUR","304,29","2022-01-10"
"S0067594","SID","EUR","169,05","2022-01-11"
"S0067593","SID","EUR","304,29","2022-01-10"
"S0067593","SID","EUR","512,95","2022-01-11"
"S0067593","SID","EUR","217,35","2022-01-13"
"S0067591","SID","EUR","304,29","2022-01-10"
"S0067591","SID","EUR","260,82","2022-01-12"
"S0067590","SID","EUR","456,43","2022-01-10"
"S0067590","SID","EUR","769,42","2022-01-11"
"S0067589","SID","EUR","304,29","2022-01-10"
"S0067588","SID","EUR","217,35","2022-01-12"
